resolution,total_voxels,eid_v1_time,inclusion_time
20,8000,0.008000612258911133,0.002999544143676758
30,27000,0.026999950408935547,0.008000373840332031
40,64000,0.0690000057220459,0.017000198364257812
50,125000,0.13899922370910645,0.03800010681152344
60,216000,0.2479991912841797,0.14812827110290527
70,343000,0.3770008087158203,0.2445838451385498
80,512000,0.5489115715026855,0.5141494274139404
